JW=  1    A=   87.09    NA=  1454    Q(I)=0.10/0.08/0.08/0.10/0.07/0.13/0.06/0.06/0.10/0.08/0.08/0.05/

      N        START     CLASS    INSTRM    PITCH      GLISS1    GLISS2    GLISS3        DURATION     DYNAM
JW=  1    A=   87.09    NA=  1454    Q(I)=0.10/0.08/0.08/0.10/0.07/0.13/0.06/0.06/0.10/0.08/0.08/0.05/

      N        START     CLASS    INSTRM    PITCH      GLISS1    GLISS2    GLISS3        DURATION     DYNAM
    201       11.27        2       1       25.9          0.0       0.0       0.0          0.38         23
    202       11.34        1       8        0.0          0.0       0.0       0.0          2.49         26
    203       11.34       11       1       23.8          0.0       0.0       0.0          0.07         21
    204       11.45        4       2       47.5          0.0       0.0       0.0          0.19         39
    205       11.45       10       1       52.9          0.0       0.0       0.0          0.15         46
    206       11.51        7       2       21.9          0.0       0.0       0.0          0.00         61
    207       11.64        6       1       57.4          0.0       0.0       0.0          0.54         13
    208       11.68       12       2       56.4          0.0       0.0       0.0          0.78         36
    209       11.69        1       3        0.0          0.0       0.0       0.0          1.88         15
    210       11.78        2       1       26.1          0.0       0.0       0.0          0.12          7
    211       11.83        4       2       44.8          0.0       0.0       0.0          0.43         39
    212       11.96       10       1       37.9          0.0       0.0       0.0          0.53         31
    213       12.05        4       1       37.4          0.0       0.0       0.0          0.02          8
    214       12.17       11       1       33.7          0.0       0.0       0.0          0.03          8
    215       12.25       12       2       68.0          0.0       0.0       0.0          0.00         57
    216       12.26       11       1       38.2          0.0       0.0       0.0          0.04         26
    217       12.35        8       2       37.6          0.0       0.0       0.0          0.00         58
    218       12.36        9       1       62.8          0.0       0.0       0.0          0.00         43
    219       12.36        2       1       41.0          0.0       0.0       0.0          0.31         61
    220       12.49       10       1       51.0          0.0       0.0       0.0          0.21         30
    221       12.53       12       2       68.2          0.0       0.0       0.0          0.54         62
    222       12.54        2       1       18.8          0.0       0.0       0.0          0.33         36
