JW=  1    A=   74.38    NA=    93    Q(I)=0.07/0.02/0.16/0.20/0.12/0.04/0.05/0.10/0.14/0.06/0.01/0.02/

      N        START     CLASS    INSTRM    PITCH      GLISS1    GLISS2    GLISS3        DURATION     DYNAM
      4        1.86        3       1       60.6          0.0       0.0       0.0          4.13         15
      5        2.43        8       2       28.2          0.0       0.0       0.0          0.00         50
      6        2.66        8       1       39.2          0.0       0.0       0.0          0.00         50
      7        2.79        7       2       21.3          0.0       0.0       0.0          0.00         39
      8        3.54        8       1       34.6          0.0       0.0       0.0          0.00         50
      9        5.07        3       1       46.3          0.0       0.0       0.0          1.99         14
     10        5.24        4       1       56.2          0.0       0.0       0.0          3.40         13
     11        5.63        8       2       45.6          0.0       0.0       0.0          0.00         31
     12        5.78       10       1       39.9          0.0       0.0       0.0          1.05         35
     13        6.60        3       1       52.6          0.0       0.0       0.0          3.63         26
     14        6.64        8       2       45.3          0.0       0.0       0.0          0.00         38
     15        6.99        7       2       17.6          0.0       0.0       0.0          0.00         48
     16        7.50        3       1       53.2          0.0       0.0       0.0          2.59         33
     17        7.74        9       1       48.3          0.0       0.0       0.0          1.65         21
     18        9.56        3       1       64.8          0.0       0.0       0.0          0.00         55
     19       11.59        6       3       31.4          0.0       0.0       0.0          1.11         58
     20       11.63        4       2       30.0          0.0       0.0       0.0          2.10         51
     21       11.81        8       1       57.1          0.0       0.0       0.0          0.00         26
     22       11.82        5       1       43.2         35.0     -21.0     -27.0          1.06          7
     23       11.93        9       1       38.7          0.0       0.0       0.0          2.65         50
     24       11.94        8       1       41.9          0.0       0.0       0.0          0.00         40
     25       11.97       10       1       46.3          0.0       0.0       0.0          0.51         16
     26       12.30        8       1       41.0          0.0       0.0       0.0          0.00         26
     27       13.33       10       1       43.3          0.0       0.0       0.0          1.05         56
     28       13.52       10       1       58.9          0.0       0.0       0.0          0.50         46
     29       13.68        8       1       40.0          0.0       0.0       0.0          0.00         22
     30       14.08        7       1       36.7          0.0       0.0       0.0          0.00          7
     31       14.08       11       2       13.0          0.0       0.0       0.0          1.28         42
     32       14.11        8       2       39.9          0.0       0.0       0.0          0.00         14
     33       15.23        8       1       57.5          0.0       0.0       0.0          0.00         35
     34       15.52        6       5       48.6          0.0       0.0       0.0          0.00         47
     35       16.65        9       1       39.9          0.0       0.0       0.0          1.56         30
     36       18.23       10       1       52.1          0.0       0.0       0.0          0.74         16
     37       18.48        6       1       55.2          0.0       0.0       0.0          2.71         43
     38       18.76        4       2       48.3          0.0       0.0       0.0          3.45         43
     39       18.89        7       1       40.4          0.0       0.0       0.0          0.00         24
     40       19.14        4       1       62.0          0.0       0.0       0.0          3.84         49
     41       19.25        9       1       53.8          0.0       0.0       0.0          1.51         41
     42       19.45        1       3        0.0          0.0       0.0       0.0          2.43         42
     43       19.52        4       2       21.9          0.0       0.0       0.0          1.26         16
     44       20.22        2       1       53.8          0.0       0.0       0.0          0.99         14
     45       20.39        5       2       15.9         27.0     -21.0      21.0          5.13         53
     46       20.39        7       1       48.8          0.0       0.0       0.0          0.00         61
     47       20.84        8       2       46.2          0.0       0.0       0.0          0.00         56
     48       21.01        4       2       32.6          0.0       0.0       0.0          2.13          3
     49       21.52        8       1       57.4          0.0       0.0       0.0          0.00         14
     50       21.77        8       2       46.6          0.0       0.0       0.0          0.00          3

JW= 10    A=   54.81    NA=   122    Q(I)=0.03/0.01/0.05/0.06/0.04/0.08/0.12/0.33/0.07/0.16/0.03/0.02/

      N        START     CLASS    INSTRM    PITCH      GLISS1    GLISS2    GLISS3        DURATION     DYNAM
     51       22.98       11       1       43.8          0.0       0.0       0.0          1.03         25
     52       23.40       10       1       61.0          0.0       0.0       0.0          0.71         24
     53       23.46       10       1       47.7          0.0       0.0       0.0          0.00         17
     54       23.65        8       2       26.9          0.0       0.0       0.0          0.00         49
     55       24.20       10       1       46.8          0.0       0.0       0.0          1.31         30
     56       24.39        8       2       35.6          0.0       0.0       0.0          0.00         42
     57       25.22       12       2       36.7          0.0       0.0       0.0          3.88         48
     58       25.92        8       1       59.0          0.0       0.0       0.0          0.00          6
     59       26.04        8       1       64.7          0.0       0.0       0.0          0.00         39
     60       26.31        8       1       55.8          0.0       0.0       0.0          0.00         58
     61       26.33        8       1       61.5          0.0       0.0       0.0          0.00         35
